postal_prefix,population
BN17 6,14270
BN17 7,12099
BN18 0,9430
BN18 9,4829
BN2 0,6582
BN2 1,10213
BN2 3,12161
BN2 4,16578
BN2 5,13217
BN2 6,9793
BN2 7,4378
BN2 8,8700
BN2 9,12683
BN20 0,1613
BN20 7,5993
BN20 8,8589
BN20 9,5077
BN21 1,7327
BN21 2,8572
BN21 3,6243
BN21 4,4128
BN22 0,9450
BN22 7,5982
BN22 8,10509
BN22 9,7649
BN23 5,6258
BN23 6,6625
BN23 7,7838
BN23 8,7889
BN24 5,7466
BN24 6,3178
BN25 1,4499
BN25 2,7262
BN25 3,8853
BN25 4,3345
BN26 5,6041
BN26 6,7119
BN27 1,7503
BN27 2,5760
BN27 3,12532
BN27 4,6522
BN3 1,10684
BN3 2,6894
BN3 3,13089
BN3 4,8178
BN3 5,11478
BN3 6,11230
BN3 7,11000
BN3 8,8410
BN41 1,6888
BN41 2,14485
BN42 4,10759
BN43 5,12086
BN43 6,12177
BN44 3,10012
BN45 7,614
BN5 9,8038
BN6 8,9398
BN6 9,9805
BN7 1,8448
BN7 2,7995
BN7 3,3887
BN8 4,6174
BN8 5,6200
BN8 6,3710
BN9 0,4151
BN9 9,9755
BR1 1,1736
BR1 2,12486
BR1 3,13366
BR1 4,14898
BR1 5,18151
BR2 0,12665
BR2 6,2892
BR2 7,9015
BR2 8,10695
BR2 9,14360
BR3 1,9747
BR3 3,13624
BR3 4,13884
BR3 5,6978
BR3 6,5667
BR4 0,9453
BR4 9,10308
BR5 1,12260
BR5 2,14221
BR5 3,11241
BR5 4,11016
BR6 0,10074
BR6 6,6531
BR6 7,8600
BR6 8,7781
BR6 9,15053
BR7 5,7875
BR7 6,10917
BR8 7,16056
BR8 8,7674
BS1 1,1400
BS1 2,1681
BS1 3,2117
BS1 4,1448
BS1 5,5483
BS1 6,6622
BS10 5,10057
BS10 6,11355
BS10 7,9194
BS11 0,10612
BS11 9,8477
BS13 0,8107
BS13 7,9503
BS13 8,8334
BS13 9,6454
BS14 0,10728
BS14 8,8315
BS14 9,11887
BS15 1,12131
BS15 3,9552
BS15 4,12084
BS15 8,7732
BS15 9,8278
BS16 1,17431
BS16 2,10753
BS16 3,8085
BS16 4,10389
BS16 5,10841
BS16 6,10943
BS16 7,12689
BS16 9,10137
BS2 0,4942
BS2 8,7547
BS2 9,6912
BS20 0,4998
BS20 6,8678
BS20 7,13357
BS20 8,5874
BS21 5,4602
BS21 6,9274
BS21 7,9683
BS22 6,7618
BS22 7,10324
BS22 8,10939
BS22 9,9150
BS23 1,5515
BS23 2,9582
BS23 3,12899
BS23 4,7969
BS24 0,2171
BS24 6,674
BS24 7,10800
BS24 8,5100
BS24 9,6071
BS25 1,4584
BS25 5,2060
BS26 2,4941
BS27 3,7499
BS28 4,3316
BS29 6,2909
BS3 1,9708
BS3 2,7282
BS3 3,6625
BS3 4,8237
BS3 5,9378
BS3 9,1
BS30 5,5246
BS30 6,3901
BS30 7,3202
BS30 8,9994
BS30 9,7743
BS31 1,8862
BS31 2,11033
BS31 3,4143
BS32 0,7413
BS32 4,4342
BS32 8,7911
BS32 9,5089
BS34 5,13684
BS34 6,6247
BS34 7,7572
BS34 8,8896
BS35 1,8422
BS35 2,6561
BS35 3,3613
BS35 4,5139
BS35 5,664
BS36 1,6774
BS36 2,9849
BS37 4,9169
BS37 5,7635
BS37 6,8423
BS37 7,8338
BS37 8,6453
BS37 9,892
BS39 4,2615
BS39 5,5106
BS39 6,3146
BS39 7,6482
BS4 1,14337
BS4 2,10887
BS4 3,9407
BS4 4,13020
BS4 5,4067
BS40 5,4901
BS40 6,2308
BS40 7,1842
BS40 8,3733
BS40 9,970
BS41 8,896
BS41 9,5529
BS48 1,5238
BS48 2,7597
BS48 3,5816
BS48 4,4873
BS49 4,8927
BS49 5,3596
BS5 0,10021
BS5 6,13917
BS5 7,12634
BS5 8,10368
BS5 9,10493
BS6 5,11722
BS6 6,12268
BS6 7,9994
BS7 0,16261
BS7 8,11109
BS7 9,17076
BS8 1,5572
BS8 2,7467
BS8 3,5984
BS8 4,8214
BS9 1,9236
BS9 2,7464
BS9 3,8274
BS9 4,8396
CA1 1,2065
CA1 2,11432
CA1 3,11535
CA10 1,6211
CA10 2,3511
CA10 3,4699
CA11 0,4381
CA11 7,4255
CA11 8,8760
CA11 9,6011
CA12 4,4663
CA12 5,2787
CA13 0,9056
CA13 3,1
CA13 9,6182
CA14 1,9255
CA14 2,4714
CA14 3,8416
CA14 4,5951
CA14 5,7533
CA15 6,4172
CA15 7,7135
CA15 8,4826
CA16 6,6407
CA17 4,4926
CA18 1,275
CA19 1,933
CA2 4,10528
CA2 5,6748
CA2 6,10417
CA2 7,12916
CA20 1,3171
CA21 2,730
CA22 2,8710
CA23 3,1396
CA24 3,987
CA25 5,5911
CA26 3,3483
CA27 0,1482
CA28 6,9122
CA28 7,2728
CA28 8,8216
CA28 9,7785
CA3 0,6157
CA3 8,344
CA3 9,7705
CA4 0,2745
CA4 8,5742
CA4 9,1215
CA5 6,3989
CA5 7,3240
CA6 4,4271
CA6 5,3311
CA6 6,1604
CA7 0,1824
CA7 1,1310
CA7 2,2223
CA7 3,3359
CA7 4,4143
CA7 5,1912
CA7 8,2086
CA7 9,5885
CA8 1,4728
CA8 2,1635
CA8 7,1509
CA8 9,2227
CA9 3,2081
CB1 1,2975
CB1 2,8881
CB1 3,20591
CB1 7,5766
CB1 8,5856
CB1 9,9482
CB10 1,5040
CB10 2,10102
CB11 3,10234
CB11 4,8808
CB2 0,2400
CB2 1,8302
CB2 3,1573
CB2 7,461
CB2 8,4869
CB2 9,12083
CB21 4,8308
CB21 5,5859
CB21 6,1716
CB22 3,8064
CB22 4,4490
CB22 5,8567
CB22 6,1264
CB22 7,3391
CB23 1,2643
CB23 2,1918
CB23 3,4483
CB23 4,1136
CB23 5,3151
CB23 6,8912
CB23 7,8762
CB23 8,5047
CB24 1,2102
CB24 3,5082
CB24 4,3597
CB24 5,7223
CB24 6,4119
CB24 8,6754
CB24 9,8021
CB25 0,8322
CB25 9,10732
CB3 0,10756
CB3 1,1496
CB3 9,6566
CB4 0,13
CB4 1,16184
CB4 2,16357
CB4 3,11792
CB5 8,13530
CB6 1,12852
CB6 2,12529
CB6 3,14356
CB7 4,9107
CB7 5,19533
CB7 6,38
CB7 7,21
CB7 9,2
CB8 0,10094
CB8 7,7173
CB8 8,9505
CB8 9,7827
CB9 0,8160
CB9 7,10288
CB9 8,5707
CB9 9,8850
CF10 1,774
CF10 2,1517
CF10 3,2524
CF10 4,5803
CF10 5,6805
CF11 0,3295
CF11 6,12619
CF11 7,10003
CF11 8,5659
CF11 9,7583
CF14 0,5882
CF14 1,9370
CF14 2,10926
CF14 3,12180
CF14 4,9924
CF14 5,8760
CF14 6,9448
CF14 7,4638
CF14 9,6922
CF15 7,5455
CF15 8,7097
CF15 9,5977
CF23 5,9959
CF23 6,10622
CF23 7,8350
CF23 8,7049
CF23 9,11616
CF24 0,4828
CF24 1,6097
CF24 2,14130
CF24 3,12500
CF24 4,21070
CF24 5,719
CF3 0,12539
CF3 1,4619
CF3 2,4074
CF3 3,7210
CF3 4,5682
CF3 5,9019
CF3 6,2895
CF31 1,8914
CF31 2,11868
CF31 3,4709
CF31 4,13681
CF31 5,6154
CF32 0,5577
CF32 7,6262
CF32 8,7819
CF32 9,11815
CF33 4,7438
CF33 6,7493
CF34 0,10562
CF34 9,9454
CF35 5,5460
CF35 6,15866
CF36 3,9158
CF36 5,6792
CF37 1,9928
CF37 2,5646
CF37 3,7533
CF37 4,6994
CF37 5,8700
CF38 1,10432
CF38 2,13028
CF39 0,5230
CF39 8,15662
CF39 9,8117
CF40 1,8977
CF40 2,11113
CF41 7,10666
CF42 5,5981
CF42 6,7372
CF43 3,4279
CF43 4,7144
CF44 0,8764
CF44 6,10101
CF44 7,4004
CF44 8,8860
CF44 9,9244
CF45 3,10013
CF45 4,9370
CF46 5,6275
CF46 6,8249
CF47 0,7652
CF47 8,3719
CF47 9,10591
CF48 1,9045
CF48 2,5952
CF48 3,4116
CF48 4,7701
CF5 1,11866
CF5 2,9610
CF5 3,12153
CF5 4,16473
CF5 5,12357
CF5 6,6516
CF61 1,4775
CF61 2,4898
CF62 3,7391
CF62 4,4961
CF62 5,5270
CF62 6,5827
CF62 7,6505
CF62 8,7103
CF62 9,6918
CF63 1,8962
CF63 2,5352
CF63 3,1442
CF63 4,5894
CF64 1,6232
CF64 2,8717
CF64 3,8389
CF64 4,7952
CF64 5,6183
CF71 7,9573
CF72 4,88
CF72 8,10893
CF72 9,16980
CF81 8,7978
CF81 9,8052
CF82 6,1729
CF82 7,12295
CF82 8,6134
CF83 1,12441
CF83 2,12161
CF83 3,12767
CF83 4,6504
CF83 8,10695
CH1 1,842
CH1 2,1397
CH1 3,4277
CH1 4,7360
CH1 5,13799
CH1 6,5287
CH2 1,9940
CH2 2,7847
CH2 3,9790
CH2 4,8097
CH3 5,12544
CH3 6,8248
CH3 7,6747
CH3 8,4547
CH3 9,4455
CH4 0,11866
CH4 7,7845
CH4 8,11555
CH4 9,3555
CH41 0,3519
CH41 1,476
CH41 2,2472
CH41 3,1276
CH41 4,3194
CH41 5,771
CH41 6,539
CH41 7,2345
CH41 8,3124
CH41 9,1891
CH42 0,2956
CH42 1,3617
CH42 2,2765
CH42 3,2241
CH42 4,4465
CH42 5,2975
CH42 6,4062
CH42 7,2511
CH42 8,2420
CH42 9,4601
CH43 0,4749
CH43 1,2906
CH43 2,4083
CH43 3,2823
