name,population
ALEXIOS,5
ALEXIS,92
ALEYA,11
ALEYAH,13
ALEYNA,30
ALF,5
ALFFI,7
ALFIE,2338
ALFIE-GEORGE,7
ALFIE-JACK,4
ALFIE-JAMES,32
ALFIE-JAY,10
ALFIE-JOE,5
ALFIE-JOHN,5
ALFIE-LEE,5
ALFIE-RAY,6
ALFIE-WILLIAM,3
ALFONSO,7
ALFRED,739
ALFREDO,7
ALHAJI,4
ALHASSAN,3
ALI,399
ALI-ASGHAR,5
ALIA,50
ALIANA,20
ALIANNA,6
ALIAS,6
ALICE,1359
ALICE-ROSE,7
ALICIA,136
ALICJA,101
ALIEU,3
ALIFA,3
ALIFIYA,3
ALIHA,10
ALIHAN,4
ALIJAH,17
ALIKA,3
ALIKI,4
ALILAH,3
ALIM,6
ALIMA,9
ALIN,13
ALINA,181
ALINAH,4
ALINE,4
ALINEA,3
ALISA,69
ALISE,18
ALISHA,143
ALISHAN,3
ALISHBA,16
ALISIA,14
ALISON,22
ALISSA,37
ALISSIA,26
ALISTAIR,64
ALISTER,7
ALITA,11
ALIVIA,26
ALIX,7
ALIYA,80
ALIYAAN,11
ALIYAH,140
ALIYAH-ROSE,5
ALIYAN,7
ALIYANA,9
ALIYAR,14
ALIYAS,3
ALIYE,3
ALIYZA,4
ALIYZAH,3
ALIZ,3
ALIZA,173
ALIZA-ROSE,3
ALIZAH,17
ALIZAY,19
ALIZEH,20
ALIZEY,7
ALLAN,12
ALLANA,11
ALLANAH,4
ALLAYAH,6
ALLEGRA,52
ALLEN,4
ALLIE,23
ALLISON,16
ALLORA,3
ALLY,4
ALLYSSA,3
ALMA,177
ALMAAS,3
ALMAS,7
ALMINA,4
ALMIR,6
ALMIRA,6
ALONSO,10
ALONZO,8
ALORA,51
ALORA-ROSE,3
ALOYSIUS,5
ALP,6
ALPARSLAN,13
ALPER,3
ALPEREN,3
ALPHA,9
ALTAN,3
ALTAY,4
ALTEA,4
ALTEO,9
ALTHEA,30
ALULA,8
ALUNA,23
ALVA,15
ALVAR,3
ALVARO,8
ALVEY,86
ALVI,11
ALVIE,51
ALVIN,33
ALVINA,5
ALWYN,6
ALYA,64
ALYAAN,16
ALYAANAH,9
ALYAN,10
ALYANA,22
ALYANNA,3
ALYAS,3
ALYCIA,12
ALYDIA,3
ALYLAH,5
ALYNA,4
ALYRA,4
ALYS,97
ALYSA,6
ALYSHA,6
ALYSIA,15
ALYSSA,240
ALYSSA-RAE,4
ALYSSA-ROSE,3
ALYSSIA,62
ALYSSIA-ROSE,3
ALYVIA,4
ALYX,5
ALYZA,32
AMA,3
AMAAL,28
AMAAN,47
AMAANA,5
AMAANAH,21
AMAANI,12
AMAAR,8
AMAARA,8
AMAARI,3
AMAAYA,7
AMABELLA,3
AMAD,4
AMADEA,3
AMADEO,4
AMADEUS,4
AMADOU,3
AMAIA,45
AMAIRA,30
AMAIRAH,9
AMAIYA,16
AMAIYAH,12
AMAL,190
AMALA,10
AMALEIGH,4
AMALIA,125
AMALIE,31
AMALIYAH,3
AMAN,26
AMANA,10
AMANAH,28
AMANAT,14
AMANDA,54
AMANI,69
AMANUEL,5
AMAR,46
AMARA,293
AMARA-GRACE,3
AMARA-LEIGH,4
AMARA-MAE,7
AMARA-ROSE,5
AMARACHI,15
AMARACHUKWU,4
AMARAH,40
AMARE,5
AMARI,219
AMARI-RAE,3
AMARIA,6
AMARIAH,17
AMARII,7
AMARIS,23
AMARISSA,6
AMARIYAH,6
AMARLIA,3
AMARNI,6
AMARO,4
AMARRI,4
AMARYLLIS,4
AMATULLAH,9
AMAY,8
AMAYA,423
AMAYA-GRACE,5
AMAYA-MAE,4
AMAYA-NOOR,4
AMAYA-RAE,4
AMAYA-ROSE,12
AMAYAH,131
AMAYAH-ROSE,4
AMAYLA,3
AMAYRA,28
AMAYRAH,10
AMAZIAH,4
AMBA,4
AMBAR,10
AMBER,594
AMBER-LILY,3
AMBER-ROSE,13
AMBERLEY,7
AMBERLY,5
AMBLA,5
AMBRA,14
AMBREEN,3
AMBROSE,25
AMEDEA,3
AMEDEEA,3
AMEDEO,3
AMEEN,15
AMEENA,14
AMEENAH,9
AMEER,28
AMEERA,92
AMEERAH,65
AMEILA,3
AMEIRA,4
AMEJA,5
AMEL,10
AMELA,3
AMELI,3
AMELIA,3164
AMELIA-ANN,3
AMELIA-FAITH,4
AMELIA-GRACE,27
AMELIA-JADE,4
AMELIA-JANE,3
AMELIA-LILLY,3
AMELIA-LILY,11
AMELIA-LOUISE,3
AMELIA-MAE,17
AMELIA-MAY,4
AMELIA-RAE,12
AMELIA-ROSE,120
AMELIAH,6
AMELIE,598
AMELIE-ROSE,5
AMELIJA,21
AMELINE,3
AMELIYA,5
AMELLE,8
AMELY,5
AMELYA,3
AMEN,26
AMENA,6
AMER,7
AMERA,3
AMETHYST,4
AMEYA,14
AMEYAH,5
AMIA,14
AMIAH,11
AMIAS,17
AMIE,11
AMIEL,3
AMIIRA,7
AMILA,12
AMILAH,8
AMILIA,11
AMILIE,3
AMIN,31
AMINA,195
AMINAH,98
AMINAT,3
AMINATA,13
AMINE,16
AMIR,187
AMIRA,327
AMIRA-ROSE,6
AMIRAH,148
AMIRI,5
AMITAI,3
AMITOJ,3
AMITY,6
AMIYA,21
AMIYAH,86
AMIYAH-ROSE,5
AMJAD,6
AMLA,17
AMMA,3
AMMAAR,4
AMMAARAH,8
AMMAR,43
AMMARA,10
AMMARAH,17
AMNA,37
AMNAH,3
AMOR,3
AMORA,36
AMORAH,3
AMORE,3
AMOS,65
AMOUR,4
AMOURA,10
AMR,4
AMRA,4
AMRAJ,4
AMREEN,13
AMREET,4
AMRIK,3
AMRIT,29
AMRITA,8
AMRIYA,3
AMY,166
AMY-ROSE,5
AMYAH,4
AMYRA,47
AMYRAH,14
AMZA,10
AN,10
ANA,108
ANA-MARIA,12
ANAAYA,17
ANAAYAH,3
ANAB,3
ANABEL,14
ANABELLA,14
ANABELLE,18
ANABIA,68
ANABIYA,12
ANAH,5
ANAHAD,3
ANAHAT,10
ANAHI,5
ANAHITA,4
ANAIA,6
ANAIAH,24
ANAIAH-GRACE,3
ANAIKA,4
ANAIRA,7
ANAIS,102
ANAISA,11
ANAISHA,19
ANAIYA,45
ANAIYAH,24
ANAIZA,16
ANAIZAH,4
ANAKIN,9
ANALIA,10
ANAM,20
ANAMARIA,5
ANAMIKA,5
ANAMTA,5
ANAND,6
ANANIYA,3
ANANT,5
ANANYA,22
ANARA,4
ANAS,99
ANASER,14
ANASHE,9
ANASTACIA,3
ANASTASIA,369
ANASTASIA-MARIA,9
ANASTASIJA,3
ANASTASIOS,5
ANASTASIYA,5
ANASTASYA,3
ANASTAZIA,4
ANASTAZJA,30
ANAY,10
ANAYA,396
ANAYA-ROSE,3
ANAYAH,101
ANAYAH-ROSE,3
ANAYAT,11
ANAYRA,18
ANAYS,34
ANDER,8
ANDERS,9
ANDERSON,15
ANDI,16
ANDIE,4
ANDILE,3
ANDRA,20
ANDRADA,6
ANDRAYA,3
ANDRE,64
ANDREA,45
ANDREAS,58
ANDREEA,35
ANDREI,124
ANDREIA,5
ANDREJ,4
ANDRES,12
ANDREW,162
ANDREW-JAMES,3
ANDREW-JOHN,3
ANDREY,9
ANDRIANA,6
ANDRIANNA,3
ANDRIUS,3
ANDROMEDA,4
ANDY,37
ANEEKA,5
ANEESA,13
ANEESHA,5
ANEIRA,21
ANEIRIN,10
ANELIA,4
ANELIS,4
ANELISE,10
ANELISSE,3
ANELLA,6
ANES,6
ANESA,5
ANEST,5
ANESU,3
ANETA,6
ANEURIN,23
ANFAL,6
ANGAD,21
ANGEL,139
ANGEL-ROSE,6
ANGELA,45
ANGELICA,34
ANGELIKA,4
ANGELIKI,5
ANGELINA,44
ANGELIQUE,3
ANGELLICA,4
ANGELO,67
ANGELOS,4
ANGHARAD,6
ANGIE,4
ANGUS,139
ANH,3
ANHA,3
ANHAAR,3
ANHAD,3
ANI,11
ANIA,18
ANIAH,5
ANIELA,21
ANIK,3
ANIKA,63
ANIKO,3
ANIRUDH,6
ANIS,9
ANISA,20
ANISH,5
ANISHA,13
ANISIA,12
ANISSA,3
ANITA,22
ANIYA,27
ANIYAH,64
ANIYAH-ROSE,3
ANJA,10
ANJALI,17
ANJOLAOLUWA,5
ANMOL,3
ANN,23
ANN-MARIE,4
ANNA,545
ANNA-MAE,5
ANNA-MARIA,7
ANNA-ROSE,3
ANNA-SOPHIA,5
ANNABEL,165
ANNABELL,4
ANNABELLA,66
ANNABELLA-ROSE,3
ANNABELLE,468
ANNABELLE-ROSE,5
ANNABETH,3
ANNALEE,5
ANNALEIGH,3
ANNALIE,3
ANNALIESE,7
