name,population
MIKAELA,270
MIKAYLA,1864
MILA,2861
MILES,360
MILLA,160
MILLIE,1021
MITCHELL,14060
MOLLY,2684
MONICA,177
MONIQUE,2542
MUHAMMAD,2352
MURRAY,1291
MYLES,205
NAOMI,2890
NARELLE,3969
NATALIE,13282
NATASHA,6811
NATE,1677
NATHAN,21439
NATHANIEL,729
NEIL,5615
NEVILLE,1213
NICHOLAS,23922
NICOLA,480
NICOLE,18656
NIGEL,1287
NIXON,93
NOAH,12895
NOEL,1482
NORA,513
NORMAN,930
OLIVE,1244
OLIVER,14730
OLIVIA,16739
OSCAR,6111
OWEN,2005
PAIGE,3227
PAMELA,3154
PARIS,489
PARKER,176
PATRICIA,8256
PATRICK,13820
PAUL,38007
PAULA,1753
PAULINE,1767
PENELOPE,3020
PERRY,64
PETA,1311
PETER,54223
PEYTON,72
PHILIP,6975
PHILLIP,11967
PHOEBE,3276
PHOENIX,409
PIPER,1743
PIPPA,435
POPPY,2051
QUINN,294
RACHAEL,4619
RACHEL,10874
RALPH,51
RAYMOND,7475
REBECCA,23211
REBEKAH,424
REECE,1317
REGINALD,193
REMI,796
REMY,318
RENAE,437
RENEE,5552
REUBEN,406
RHIANNON,1253
RHONDA,4022
RHYS,2833
RICHARD,15504
RICKY,1069
RILEY,8239
RIVER,444
ROBERT,38843
ROBIN,339
ROBYN,9510
RODNEY,9491
ROGER,1663
ROMAN,646
RONALD,5189
RORY,99
ROSE,1785
ROSEMARY,2013
ROSIE,431
ROSLYN,2373
ROSS,4883
ROY,62
RUBY,8411
RUSSELL,3723
RUTH,1960
RYAN,19158
RYDER,542
SADIE,738
SALLY,5479
SAM,2586
SAMANTHA,16029
SAMUEL,19066
SANDRA,10032
SARA,1472
SARAH,28346
SAVANNAH,2164
SCARLETT,3977
SCOTT,22624
SEAN,8215
SEBASTIAN,5069
SETH,759
SHAKIRA,93
SHANE,14217
SHANIA,296
SHANNON,4810
SHARON,14774
SHARYN,81
SHAUN,4542
SHAYNE,82
SHERYL,69
SHIRLEY,1198
SIENNA,7359
SIMON,10942
SIMONE,3762
SKYE,1160
SOFIA,3599
SONIA,1534
SONNY,1207
SONYA,551
SOPHIA,7128
SOPHIE,13296
SPENCER,890
STACEY,2609
STANLEY,118
STELLA,2398
STEPHANIE,9770
STEPHEN,33769
STEVEN,21788
STEWART,339
STILLBORN,90
STUART,6628
SUE,468
SUMMER,2429
SUSAN,20309
SUSANNE,1048
SUZANNE,7954
TAHLIA,2358
TAJ,225
TALIA,167
TAMARA,2275
TAMMY,1661
TANIA,2566
TANYA,5458
TARA,3644
TAYLA,1895
TAYLAH,1480
TAYLOR,2972
TEGAN,1527
TERENCE,1416
TERESA,787
TERRENCE,1448
TERRY,2372
THEA,316
THEO,1012
